numeric_categories
46
95
53
2
43
3
0
53
68
68
47
46
0
47
44
67
0
80
73
2
46
7
46
46
53
47
7
102
0
83
58
22
46
47
47
3
57
2
103
49
73
95
43
69
0
47
47
71
56
100
61
0
81
58
43
47
43
75
92
11
69
73
3
7
62
115
7
47
4
55
50
8
3
0
74
95
2
0
83
115
95
115
0
47
46
6
46
43
4
3
43
7
83
95
0
0
110
0
3
3
62
47
46
0
46
0
3
100
101
115
83
3
3
0
3
46
0
4
61
0
46
79
115
0
0
100
0
56
53
11
71
3
0
82
0
0
82
0
0
82
11
0
55
47
4
0
56
0
0
5
47
8
0
7
3
2
7
115
46
0
46
0
0
0
0
47
0
0
0
115
0
0
0
91
66
0
53
43
0
0
0
72
0
83
2
0
46
46
46
47
0
11
88
0
103
0
0
7
0
56
2
6
115
50
46
46
110
43
7
89
2
50
3
115
46
51
0
103
0
0
0
0
0
0
46
55
0
95
44
43
7
46
3
43
115
96
89
71
0
68
7
82
4
0
46
43
57
2
3
46
7
115
71
0
50
115
71
83
2
2
46
100
2
8
115
0
100
0
82
47
0
0
72
95
46
2
0
47
47
2
0
47
7
2
0
0
0
43
0
53
0
115
0
0
105
0
0
70
0
115
0
0
2
83
115
8
70
0
95
43
115
15
83
50
44
61
83
7
71
71
6
0
2
115
0
7
44
115
71
43
47
8
47
47
3
0
0
49
68
0
0
82
47
0
103
0
83
68
0
49
46
100
95
50
5
44
115
0
90
0
47
0
0
83
0
7
4
44
56
44
0
7
115
115
111
0
0
49
46
0
49
5
3
46
0
43
44
0
0
0
44
115
53
115
0
53
0
109
0
4
0
0
0
0
49
115
69
46
82
47
0
0
0
0
115
0
7
53
103
0
47
103
2
3
46
89
89
100
2
100
83
0
5
70
115
82
83
87
7
0
0
2
2
92
8
47
83
47
0
0
47
0
7
2
43
55
47
43
43
59
115
115
50
44
6
115
7
8
115
0
0
4
0
115
67
0
2
47
0
82
3
43
67
47
3
46
67
0
0
0
0
45
43
51
115
115
0
52
0
0
0
0
115
115
0
0
100
7
47
0
72
0
0
47
2
0
22
0
53
47
46
47
4
7
8
86
43
6
53
82
56
100
87
15
52
38
0
0
0
4
2
84
0
76
0
49
59
71
0
3
38
6
0
0
46
55
7
7
0
82
78
115
0
55
47
0
7
95
0
0
2
0
0
87
3
82
0
2
83
52
68
70
68
47
0
0
7
83
3
47
0
0
57
43
0
0
0
0
70
0
0
0
8
71
0
46
115
0
97
115
115
82
0
115
0
6
0
2
0
0
2
56
95
46
115
43
46
0
61
3
70
43
53
47
55
68
74
44
0
0
56
57
94
49
49
56
71
92
83
0
46
92
92
44
55
115
47
75
66
115
95
0
0
0
95
0
46
57
47
83
0
6
7
0
115
46
6
115
47
115
6
68
115
0
55
0
46
47
0
46
0
83
43
0
0
0
0
0
0
0
103
69
0
6
47
0
100
0
69
0
0
0
0
43
43
0
0
6
47
6
0
46
6
0
0
47
0
50
50
7
0
115
43
6
0
115
46
3
115
115
0
100
115
47
1
7
46
0
0
83
55
0
46
46
0
0
7
3
50
50
82
0
100
0
0
0
0
47
0
57
0
71
0
0
83
46
6
49
0
49
47
3
3
0
0
46
0
3
0
0
7
